Species,Flow.tph,Flow,Flow.lph,Sample,Mass.W0,Mass.W8,Mass.W23,Mass.Dif08,Mass.PerInc08,Mass.Dif823,Mass.PerInc823,Mass.Dif023,Mass.PerInc023
M.capitata,105,105 tph,945,Z3,9.13,9.55,9.75,0.42,4.6,0.2,2.07,0.62,6.77
M.capitata,105,105 tph,945,Z4,10.38,11,11.06,0.62,5.97,0.06,0.57,0.68,6.58
M.capitata,210,210 tph,1890,X1,8.1,7.85,8.22,-0.25,-3.09,0.37,4.71,0.12,1.48
M.capitata,210,210 tph,1890,X2,10.06,10.52,12.09,0.46,4.57,1.57,14.96,2.03,20.22
M.capitata,210,210 tph,1890,X3,9.18,9.47,10.49,0.29,3.16,1.02,10.77,1.31,14.27
M.capitata,210,210 tph,1890,X4,8.87,9.11,9.86,0.24,2.71,0.75,8.2,0.99,11.13
M.capitata,210,210 tph,1890,Y1,9.93,10.19,10.58,0.26,2.62,0.39,3.81,0.65,6.53
M.capitata,210,210 tph,1890,Y2,9.44,9.47,9.83,0.03,0.32,0.36,3.79,0.39,4.12
M.capitata,210,210 tph,1890,Y3,8.76,9.01,9.77,0.25,2.85,0.76,8.4,1.01,11.5
M.capitata,210,210 tph,1890,Y4,11.03,11.5,12.35,0.47,4.26,0.85,7.41,1.32,11.99
M.capitata,210,210 tph,1890,Z1,10.87,11.46,11.91,0.59,5.43,0.45,3.96,1.04,9.6
M.capitata,210,210 tph,1890,Z2,9.17,9.35,9.46,0.18,1.96,0.11,1.21,0.29,3.2
M.capitata,210,210 tph,1890,Z3,10.15,10.4,11.01,0.25,2.46,0.61,5.87,0.86,8.47
M.capitata,210,210 tph,1890,Z4,7.75,7.96,11.11,0.21,2.71,3.15,39.54,3.36,43.32
P.acuta,0,0 tph,0,X5,8.91,9.53,10.03,0.62,6.96,0.5,5.24,1.12,12.56
P.acuta,0,0 tph,0,X6,7.81,8.46,9.49,0.65,8.32,1.03,12.14,1.68,21.47
P.acuta,0,0 tph,0,X7,7.54,7.85,8.14,0.31,4.11,0.29,3.63,0.6,7.89
P.acuta,0,0 tph,0,X8,8.31,9.24,9.66,0.93,11.19,0.42,4.53,1.35,16.23
P.acuta,0,0 tph,0,X5,8.68,9.07,9.2,0.39,4.49,0.13,1.38,0.52,5.93
P.acuta,0,0 tph,0,X6,8.33,9.25,10.4,0.92,11.04,1.15,12.44,2.07,24.86
P.acuta,0,0 tph,0,X7,7.78,8.37,9.64,0.59,7.58,1.27,15.2,1.86,23.93
P.acuta,0,0 tph,0,X8,9.94,10.5,10.89,0.56,5.63,0.39,3.67,0.95,9.51
P.acuta,0,0 tph,0,Z5,9.06,9.73,10.42,0.67,7.4,0.69,7.09,1.36,15.01
P.acuta,0,0 tph,0,Z6,7.55,8.39,9.14,0.84,11.13,0.75,8.94,1.59,21.06
P.acuta,0,0 tph,0,Z7,9.01,9.72,10.3,0.71,7.88,0.57,5.92,1.29,14.26
P.acuta,0,0 tph,0,Z8,8.18,8.45,8.85,0.27,3.3,0.4,4.73,0.67,8.19
