Corrected.Temp.Mid,Temp.Edge
28.93,27.961
28.93,28.06
28.93,28.258
28.93,28.258
28.93,28.258
28.93,28.555
28.93,28.655
28.831,28.555
28.831,28.754
28.831,28.754
28.831,28.853
28.731,29.053
28.731,28.754
28.731,28.953
28.631,29.152
28.731,28.953
28.731,28.655
28.731,28.555
28.631,28.655
28.631,28.754
28.631,28.456
28.631,28.357
28.532,28.357
28.532,28.357
28.532,28.357
28.532,28.357
28.631,28.456
28.631,28.258
28.532,28.258
28.631,28.258
28.631,28.258
28.631,28.258
28.631,28.258
28.731,28.258
28.731,28.258
28.731,28.258
28.731,28.159
28.831,28.159
28.831,28.159
28.93,28.159
29.03,28.159
29.03,28.159
29.13,28.159
29.23,28.159
29.23,28.06
29.23,28.06
29.33,28.06
29.33,28.06
