Corrected.Temp.Mid,Temp.Edge
28.532,28.357
28.532,28.258
28.532,28.258
28.532,28.258
28.433,28.258
28.532,28.258
28.631,28.258
28.631,28.258
28.731,28.159
28.831,28.159
28.93,28.06
29.03,28.06
29.13,28.06
29.13,28.159
30.336,27.961
30.741,27.961
30.134,28.06
30.64,27.961
30.437,28.06
29.932,28.159
29.832,28.357
29.832,28.258
29.53,28.258
29.631,28.357
29.631,28.456
29.832,28.456
30.033,28.555
29.731,28.555
30.235,28.555
30.134,28.754
30.033,28.754
29.832,28.754
29.932,28.754
30.033,28.853
30.033,28.853
29.832,28.754
29.731,28.754
29.631,28.754
29.731,28.655
29.832,28.655
29.631,28.655
29.53,28.655
29.53,28.555
29.43,28.555
29.43,28.555
29.43,28.456
29.43,28.357
29.43,28.357
29.43,28.357
29.33,28.258
29.33,28.159
29.33,28.159
29.33,28.159
29.23,28.159
29.23,28.159
29.23,28.159
29.23,28.159
29.13,28.159
29.13,28.06
29.13,28.06
29.13,28.06
29.13,28.06
29.03,28.06
29.03,27.961
29.03,27.961
29.03,27.961
29.03,27.961
28.93,27.961
